Precinct,Address,City,Zip,County,geometry,lon,lat
Church of the Island,901 Chaumont Ave.,Dauphin Island,36528,Mobile,POINT (-88.10999999999996 30.256499999999967),-88.10999999999996,30.256499999999967
St. Michael Catholic Church,15872 Heron Bay Loop Rd. E.,Coden,36523,Mobile,POINT (-88.13049999999998 30.35959999999999),-88.13049999999998,30.35959999999999
Bayou La Batre Community Center,12745 Padgett Switch Rd,Bayou La Batre,36544,Mobile,POINT (-88.24410371 30.42307123),-88.24410371,30.42307123
First Evangelical Methodist Church,11329 Padgett Switch Rd.,Irvington,36544,Mobile,POINT (-88.217 30.455776739999965),-88.217,30.455776739999965
Friendship Baptist Church,12581 Saeger Rd.,Grand Bay,36541,Mobile,POINT (-88.34026939000005 30.472400000000036),-88.34026939000005,30.472400000000036
Grand Bay Middle School,12800 Cunningham Rd,Grand Bay,36541,Mobile,POINT (-88.3461 30.479499999999963),-88.3461,30.479499999999963
St Philip Neri Catholic Church,9101 Dauphin Island Pkwy,Theodore,36582,Mobile,POINT (-88.1109 30.503217770000038),-88.1109,30.503217770000038
St. Elmo Elementary School,8666 McDonald Rd,Irvington,36544,Mobile,POINT (-88.24260000000002 30.51019999999999),-88.24260000000002,30.51019999999999
Hollingers Island Elementary School,2400 Hammock Rd.,Mobile,36605,Mobile,POINT (-88.09252167000002 30.54419136000003),-88.09252167000002,30.54419136000003
Burroughs Elementary School,6875 Burroughs Lane,Theodore,36582,Mobile,POINT (-88.16450000000003 30.548171430000007),-88.16450000000003,30.548171430000007
Magnolia Springs Baptist Church,6058 Theodore Dawes Rd.,Theodore,36582,Mobile,POINT (-88.1846 30.556200000000025),-88.1846,30.556200000000025
Union Baptist Church,5251 Grand Bay Wilmer Rd.,Grand Bay,36541,Mobile,POINT (-88.34369995000003 30.581293250000044),-88.34369995000003,30.581293250000044
	Tillman's Corner Community Center,5055 Carol Plantation Rd.,Tillman's Corner,36619,Mobile,POINT (-88.18220000000002 30.58668107999997),-88.18220000000002,30.58668107999997
