STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,POPULATION,LATITUDE,LONGITUDE,GEOID,geometry,min_network_dist_miles,nearest_poll_network_idx
1,101,100,1,982,32.379105,-86.308949,011010001001,POINT (-86.308949 32.379105),1.1689885294592814,16
1,101,200,1,900,32.372445,-86.304582,011010002001,POINT (-86.304582 32.372445),1.086780916400512,16
1,101,200,2,540,32.370889,-86.315858,011010002002,POINT (-86.315858 32.370889),0.7947357301751029,14
1,101,300,1,999,32.412411,-86.293391,011010003001,POINT (-86.293391 32.412411),1.0396187256887917,22
1,101,300,2,262,32.394912,-86.298449,011010003002,POINT (-86.298449 32.394912),0.20126262940087242,20
1,101,400,1,719,32.409662,-86.281546,011010004001,POINT (-86.281546 32.409662),0.8914834652714778,21
1,101,400,2,600,32.407069,-86.281504,011010004002,POINT (-86.281504 32.407069),0.7191146681248214,21
1,101,400,3,768,32.404175,-86.280336,011010004003,POINT (-86.280336 32.404175),0.46385474790908077,21
1,101,400,4,492,32.401294,-86.281484,011010004004,POINT (-86.281484 32.401294),0.29515204990865823,21
1,101,400,5,718,32.398316,-86.277825,011010004005,POINT (-86.277825 32.398316),0.07891433755452547,21
1,101,400,6,520,32.392249,-86.286116,011010004006,POINT (-86.286116 32.392249),0.39015994134241366,18
1,101,400,7,450,32.387629,-86.282926,011010004007,POINT (-86.282926 32.387629),0.3646836591397716,18
1,101,500,1,1596,32.379782,-86.28537,011010005001,POINT (-86.28537 32.379782),0.6963724259634385,16
1,101,500,2,661,32.382365,-86.277859,011010005002,POINT (-86.277859 32.382365),0.6445499397268446,18
1,101,500,3,645,32.385643,-86.276811,011010005003,POINT (-86.276811 32.385643),0.45552835323797336,18
1,101,600,1,1182,32.374026,-86.292024,011010006001,POINT (-86.292024 32.374026),0.26774951222240173,16
1,101,600,2,581,32.369352,-86.291031,011010006002,POINT (-86.291031 32.369352),0.5608510321001157,16
1,101,700,1,519,32.362934,-86.311954,011010007001,POINT (-86.311954 32.362934),0.3781053102514074,14
1,101,700,2,478,32.36165,-86.3034,011010007002,POINT (-86.3034 32.36165),0.7469521667267327,15
1,101,900,1,618,32.378299,-86.348277,011010009001,POINT (-86.348277 32.378299),0.32559931400449876,17
1,101,900,2,1515,32.389821,-86.353236,011010009002,POINT (-86.353236 32.389821),0.791193905576199,17
1,101,1000,1,322,32.375817,-86.334234,011010010001,POINT (-86.334234 32.375817),2.0275392396883194,13
1,101,1000,2,878,32.360929,-86.34309,011010010002,POINT (-86.34309 32.360929),1.4488548100463543,13
1,101,1100,1,294,32.366283,-86.325275,011010011001,POINT (-86.325275 32.366283),0.7696322716144506,13
1,101,1100,2,479,32.365514,-86.330903,011010011002,POINT (-86.330903 32.365514),0.7947978674487678,13
1,101,1100,3,394,32.361711,-86.330681,011010011003,POINT (-86.330681 32.361711),0.23748865994755614,13
1,101,1100,4,335,32.356395,-86.32922,011010011004,POINT (-86.32922 32.356395),0.3671070128127058,13
1,101,1100,5,396,32.354823,-86.325613,011010011005,POINT (-86.325613 32.354823),0.6723253010550909,13
1,101,1100,6,786,32.355658,-86.336614,011010011006,POINT (-86.336614 32.355658),0.5489828128301043,13
1,101,1200,1,262,32.355227,-86.314374,011010012001,POINT (-86.314374 32.355227),0.5561907365752421,14
1,101,1200,2,876,32.362324,-86.317695,011010012002,POINT (-86.317695 32.362324),0.2019461394111872,14
1,101,1200,3,317,32.355867,-86.318857,011010012003,POINT (-86.318857 32.355867),0.47503945716877727,14
1,101,1300,1,1020,32.355389,-86.304777,011010013001,POINT (-86.304777 32.355389),0.955360582599078,8
1,101,1300,2,1074,32.347924,-86.307513,011010013002,POINT (-86.307513 32.347924),0.21667267326978762,8
1,101,1400,1,792,32.355633,-86.286891,011010014001,POINT (-86.286891 32.355633),0.39096772590005846,12
1,101,1400,2,1139,32.34896,-86.28823,011010014002,POINT (-86.28823 32.34896),0.38848223495345924,12
1,101,1400,3,1131,32.352186,-86.297267,011010014003,POINT (-86.297267 32.352186),0.46839076888662434,12
1,101,1400,4,493,32.357737,-86.29382,011010014004,POINT (-86.29382 32.357737),0.507847937663887,15
