polling_place,time_minutes,area_sq_miles,population_served
Pintlala Fire Department,5,0.07307053595433222,0
Pintlala Fire Department,10,0.20253257350732426,0
Pintlala Fire Department,15,0.3899044891440565,0
Pintlala Fire Department,20,0.5998573193533088,0
Pintlala Fire Department,30,1.3182788795327955,0
Snowdoun Volunteer Fire Department,5,0.06802812310082529,0
Snowdoun Volunteer Fire Department,10,0.25498076568941275,0
Snowdoun Volunteer Fire Department,15,0.49613518130268874,0
Snowdoun Volunteer Fire Department,20,0.8087008188942307,0
Snowdoun Volunteer Fire Department,30,1.5882456325297774,0
First Southern Baptist Church,5,0.058113931116187144,0
First Southern Baptist Church,10,0.19054837674552536,0
First Southern Baptist Church,15,0.37781841721540754,0
First Southern Baptist Church,20,0.5853396184484082,0
First Southern Baptist Church,30,1.122759851815545,0
Southlawn Baptist Church,5,0.06113402390360706,0
Southlawn Baptist Church,10,0.2815721155435437,0
Southlawn Baptist Church,15,0.7206167895629786,1956
Southlawn Baptist Church,20,1.1438754794765145,1956
Southlawn Baptist Church,30,1.696489089771008,3212
C. Thomas Ventures / Event Center,5,0.05981281709459581,0
C. Thomas Ventures / Event Center,10,0.22985558985306767,0
C. Thomas Ventures / Event Center,15,0.5505815040255553,2062
C. Thomas Ventures / Event Center,20,0.9966294395688896,2062
C. Thomas Ventures / Event Center,30,1.9845613145214984,2062
AFED Conference Center,5,0.06327618877876247,0
AFED Conference Center,10,0.27377562785065795,0
AFED Conference Center,15,0.7637919461214104,884
AFED Conference Center,20,1.5726746502250697,2095
AFED Conference Center,30,3.7379100806328047,9350
St. Paul AME Church,5,0.13109931971857877,0
St. Paul AME Church,10,0.4891606187741415,3053
St. Paul AME Church,15,1.1065384156343048,4085
St. Paul AME Church,20,1.942033516247843,5728
St. Paul AME Church,30,4.285852516072656,11905
Beulah Baptist Church,5,0.13317501505490692,0
Beulah Baptist Church,10,0.5442639294981083,2229
Beulah Baptist Church,15,1.1943557717589357,4413
Beulah Baptist Church,20,1.9781682315283386,5429
Beulah Baptist Church,30,3.9120291785582855,8792
St. James Baptist Church,5,0.08850993150785999,1074
St. James Baptist Church,10,0.44498595210590236,1074
St. James Baptist Church,15,1.0851119678444763,2851
St. James Baptist Church,20,2.0127413808113372,5676
St. James Baptist Church,30,4.354560076786525,11887
Rufus Lewis Library,5,0.06102089898399276,0
Rufus Lewis Library,10,0.3043583911419384,0
Rufus Lewis Library,15,0.787274097744318,1584
Rufus Lewis Library,20,1.5083778485218968,2544
Rufus Lewis Library,30,3.3474300379401827,5026
Hayneville Road Community Center,5,0.07206242915172012,0
Hayneville Road Community Center,10,0.31720256213098635,0
Hayneville Road Community Center,15,0.6405607290136731,0
Hayneville Road Community Center,20,1.234853397956678,0
Hayneville Road Community Center,30,2.6441561279533943,0
Stonetank Antioch Baptist Church / Fellowship Hall,5,0.09627405463128026,0
Stonetank Antioch Baptist Church / Fellowship Hall,10,0.34316983971972853,0
Stonetank Antioch Baptist Church / Fellowship Hall,15,0.6754097278574133,0
Stonetank Antioch Baptist Church / Fellowship Hall,20,1.0762241783319733,0
Stonetank Antioch Baptist Church / Fellowship Hall,30,1.9042534712859986,0
Drum Theater / Huntingdon College,5,0.05958502596034409,0
Drum Theater / Huntingdon College,10,0.33355642185652357,792
Drum Theater / Huntingdon College,15,0.9000921184701599,3555
Drum Theater / Huntingdon College,20,1.7007433142251291,5963
Drum Theater / Huntingdon College,30,4.3136375670933065,12169
McIntyre Community Center,5,0.1110257512473768,394
McIntyre Community Center,10,0.46102105870160587,1515
McIntyre Community Center,15,0.9949480765708113,2684
McIntyre Community Center,20,1.7507466061211372,3877
McIntyre Community Center,30,4.046785705301839,7036
Cleveland Ave. YMCA,5,0.15610269317010547,876
Cleveland Ave. YMCA,10,0.5377514912339312,1974
Cleveland Ave. YMCA,15,1.206488780804503,2452
Cleveland Ave. YMCA,20,2.1736197554263965,4411
Cleveland Ave. YMCA,30,4.790641428976832,12173
Alabama State University / Acadome,5,0.10615745000747503,2408
Alabama State University / Acadome,10,0.45606701849334674,2901
Alabama State University / Acadome,15,1.1121208620193648,3960
Alabama State University / Acadome,20,2.0753099942190794,7709
Alabama State University / Acadome,30,4.741887042716428,14348
Houston Hills Community Center,5,0.10304489035557741,1182
Houston Hills Community Center,10,0.4751531578099451,1182
Houston Hills Community Center,15,1.1486625659688332,2778
Houston Hills Community Center,20,2.073326726012003,5400
Houston Hills Community Center,30,4.51199858849997,12944
Lapine Baptist Church,5,0.1288896910375573,0
Lapine Baptist Church,10,0.4453151644550062,618
Lapine Baptist Church,15,0.8758682360886174,618
Lapine Baptist Church,20,1.2551084032500097,618
Lapine Baptist Church,30,2.5200959089153705,2455
"Hilton L. ""Tracy"" Larkin Community Center",5,0.08396914357793002,0
"Hilton L. ""Tracy"" Larkin Community Center",10,0.2805752578374453,1095
"Hilton L. ""Tracy"" Larkin Community Center",15,0.6785233961970187,1756
"Hilton L. ""Tracy"" Larkin Community Center",20,1.3204878304048642,4468
"Hilton L. ""Tracy"" Larkin Community Center",30,3.28386358957189,10276
Hunter Station Community Center,5,0.0581659060416328,0
