GEOID,NAMELSAD20,COUNTYFP20,POP20,nearest_poll_miles,Access_Level
01045020801,Census Tract,045,3163,4.298971237453205,Limited
01017954200,Census Tract,017,3309,10.232725743220119,Poor Access
01017953800,Census Tract,017,3156,11.158806741647052,Poor Access
01017954300,Census Tract,017,5637,6.993911627148748,Poor Access
01017954700,Census Tract,017,4489,4.201561052331385,Limited
01125011600,Census Tract,125,3341,0.4573507708134759,Very Close
01125011701,Census Tract,125,2597,0.48558416275432864,Very Close
01125011800,Census Tract,125,2575,0.5857008617097728,Very Close
01023956800,Census Tract,023,4175,10.686139502396163,Poor Access
01023956900,Census Tract,023,3628,19.362760321967876,Poor Access
01023957000,Census Tract,023,2079,8.798488243384654,Poor Access
01117030219,Census Tract,117,5059,2.3324795143031967,Moderate
01117030611,Census Tract,117,3206,3.88286787830746,Limited
01117030613,Census Tract,117,6935,2.746038535718219,Moderate
01117030614,Census Tract,117,4203,2.3403804084942657,Moderate
01117030610,Census Tract,117,4143,1.8550377291125622,Moderate
01117030616,Census Tract,117,2810,0.6091147677941053,Very Close
01117030503,Census Tract,117,4186,1.9127361339562041,Moderate
01117030615,Census Tract,117,6484,3.644753241430957,Limited
01125012304,Census Tract,125,3379,0.40797237125888663,Very Close
01125012404,Census Tract,125,3908,0.9844301943509627,Very Close
01125012600,Census Tract,125,2427,0.8035885763848001,Very Close
01125012800,Census Tract,125,2071,1.3848862589917712,Moderate
01125011703,Census Tract,125,4526,1.0532933141102465,Moderate
01125012503,Census Tract,125,4719,0.9800149437540895,Very Close
01051030901,Census Tract,051,6862,10.294858316044174,Poor Access
01117030348,Census Tract,117,4763,1.5202690013298823,Moderate
01117030349,Census Tract,117,1226,0.8864632377255426,Very Close
01117030221,Census Tract,117,5378,0.8042680344410337,Very Close
01117030220,Census Tract,117,5827,0.8895555087712317,Very Close
01117030350,Census Tract,117,3004,4.513441466239146,Limited
01117030612,Census Tract,117,2210,3.395142373378025,Limited
01117030347,Census Tract,117,4736,1.0521265418852175,Moderate
01117030218,Census Tract,117,4808,2.022159886898595,Moderate
01117030346,Census Tract,117,3847,0.624334364831111,Very Close
01117030351,Census Tract,117,3043,1.9145725155232174,Moderate
