Precinct,total_pres_votes_2020,dem_share_2020,Precinct_2024,total_pres_votes_2024,dem_share_2024,vote_change,pct_change
Snowdoun Women's Club,544,0.38235294117647056,101 WILSON COMM & ATHLETIC CTR,3471,0.4430999711898588,2927,538.0514705882354
Pintlala VFD,1350,0.3562962962962963,102 VAUGHN PARK CH,4029,0.6592206502854306,2679,198.44444444444446
Southlawn Baptist,1788,0.9563758389261744,103 MUSEUM OF FINE ARTS,2550,0.7066666666666667,762,42.61744966442953
First Southern Baptist,360,0.35555555555555557,104 WHITFIELD METHODIST,1722,0.8356562137049942,1362,378.3333333333333
AFED Conference Ctr,4137,0.9465796470872612,105 ALDERSGATE METHODIST,3014,0.8440610484406105,-1123,-27.145274353396182
Frazer UMC,5886,0.5931022765885151,106 CITY OF REFUGE CH,2226,0.9415992812219228,-3660,-62.181447502548416
Georgia Washington Mid School,4500,0.464,107 TRENHOLM COMM COLLEGE,1149,0.9312445604873804,-3351,-74.46666666666667
Museum of Fine Arts,3055,0.6834697217675941,201 ST PAUL AME CH,2447,0.7997548017981202,-608,-19.901800327332243
Leo Drum Theater/Huntingdon,3408,0.4102112676056338,202 BEULAH BAPT CH,2125,0.9590588235294116,-1283,-37.64671361502347
Lagoon Park Fire St,2975,0.4369747899159664,203 HAYNEVILLE RD COMM CTR,892,0.8497757847533632,-2083,-70.01680672268907
Eastdale Baptist,1660,0.8078313253012048,204 REBIRTH CHRISTIAN MINISTRI,3208,0.9351620947630924,1548,93.25301204819277
Sheridan Heights Comm Ctr,2177,0.9260450160771704,205 SOUTHLAWN BAPT,1579,0.935402153261558,-598,-27.46899402847956
Union Academy Baptist,181,0.430939226519337,206 TWIN GATES COMM CTR,1277,0.8919342208300705,1096,605.524861878453
Whitfield UMC,2105,0.8422802850356295,207 HUNTER STATION CC,329,0.6534954407294833,-1776,-84.37054631828978
Hayneville Rd Comm Ctr,1221,0.8771498771498771,208 STONETANK ANTIOCH BAPT,910,0.3813186813186813,-311,-25.470925470925472
St James Baptist,978,0.934560327198364,209 1ST SOUTHERN BAPT,307,0.32247557003257327,-671,-68.60940695296523
Houston Hills Comm Ctr,1023,0.7996089931573802,210 PINTLALA FIRE DEPT,1291,0.3439194422927963,268,26.19745845552297
Chisholm Comm Ctr,958,0.778705636743215,211 RUFUS LEWIS LIBRARY,700,0.9385714285714286,-258,-26.931106471816285
Hunter Station Comm Ctr,432,0.7430555555555556,212 MACEDONIA BAPT CH,1984,0.8775201612903226,1552,359.25925925925924
St James UMC,5502,0.346601235914213,301 DALRAIDA CH CHRIST,3155,0.47131537242472266,-2347,-42.657215557978915
Beulah Baptist,2704,0.9737426035502958,302 EASTERN HILLS BAPT,1813,0.5410921125206839,-891,-32.951183431952664
Union Chapel AME Church,795,0.7572327044025158,303 EASTMONT BAPT CH,3256,0.43734643734643736,2461,309.55974842767296
Aldersgate UMC,3339,0.8616352201257862,304 OLD ELAM BAPT,2532,0.4853870458135861,-807,-24.16891284815813
St Paul AME Church,2946,0.814663951120163,305 FRAZER CHURCH,5377,0.6122373070485401,2431,82.51866938221318
Davis Crossroads Fire St,280,0.2785714285714286,306 EASTDALE BAPT CH,1355,0.8081180811808119,1075,383.92857142857144
Lapine Baptist,270,0.362962962962963,401 ST_ JAMES BAPT CH,697,0.8837876614060258,427,158.14814814814815
Rufus Lewis Library,879,0.9579067121729238,402 MCINTYRE CC,1252,0.9408945686900958,373,42.43458475540387
McIntyre Comm Ctr,1746,0.9656357388316152,403 CLEVELAND AVE YMCA,1175,0.8306382978723404,-571,-32.70332187857961
Passion Church Montgomery,2303,0.8119843682153712,404 ASU ACADOME,1121,0.872435325602141,-1182,-51.32435953104646
Highland Gardens Comm Ctr,878,0.7312072892938497,405 HOUSTON HILLS CC,820,0.7621951219512195,-58,-6.605922551252847
King Hill Comm Ctr,1074,0.6890130353817505,406 NEWTOWN COMM CTR,413,0.8886198547215496,-661,-61.54562383612663
City of Refuge Church,2420,0.9611570247933884,407 HILTON L TRACY LARKIN CC,879,0.6712172923777019,-1541,-63.67768595041322
Arrowhead Country Club,1555,0.3684887459807074,408 HIGHLAND GARDEN CC,646,0.6888544891640866,-909,-58.45659163987138
Cleveland Ave YMCA,1549,0.8805681084570691,409 BETTER COVENANT MINS,778,0.7506426735218509,-771,-49.77404777275662
Dalraida Church of Christ,3705,0.4199730094466936,410 WEEPING WILLOW BAPT,1653,0.9225650332728372,-2052,-55.38461538461539
Trenholm St Comm College,1411,0.96243798724309,411 UNION ACADEMY BAPT,151,0.3443708609271523,-1260,-89.2983699503898
Newtown Comm Ctr,551,0.9346642468239564,412 UNION CHAPEL AME,640,0.7328125,89,16.152450090744104
Woodland UMC,3752,0.369136460554371,413 PASSION CH MONTGOMERY,2203,0.813890149795733,-1549,-41.28464818763326
Ramer Library,501,0.39520958083832336,414 NEW HOME BAPT CH,1164,0.7731958762886598,663,132.3353293413174
Dublin Fire St,490,0.2979591836734694,501 1ST CHRISTIAN CH,5010,0.5704590818363273,4520,922.4489795918367
Pine Level Fire St,533,0.30956848030018763,502 SNOWDOUN VFD,438,0.3356164383561644,-95,-17.823639774859288
Eastern Hills Baptist,2336,0.4922945205479452,503 LAPINE BAPT CH,238,0.2857142857142857,-2098,-89.81164383561644
AL State University Acadome,1368,0.8888888888888888,504 RAMER PUBLIC LIBRARY,431,0.3433874709976798,-937,-68.49415204678363
Covenant Ministries,3064,0.8413838120104439,505 ROLLING HILLS LAKE VFD,635,0.5669291338582677,-2429,-79.27545691906005
First Christian Church,4508,0.4993345164152618,506 DAVIS CROSSRODS,257,0.2529182879377432,-4251,-94.29902395740906
Catoma Elementary,999,0.3983983983983984,507 DUBLIN SO MO VFD,444,0.22297297297297297,-555,-55.55555555555556
Macedonia Miracle Worship Ctr,1414,0.915841584158416,508 PINE LEVEL SO MO VFD,456,0.25877192982456143,-958,-67.75106082036774
Eastmont Baptist,3437,0.35670643002618563,509 WOODLAND UN METHODIST,4267,0.41270213264588707,830,24.148967122490543
Vaughn Park Church of Christ,4092,0.6275659824046921,510 ANTIOCH BAPT CH,3515,0.3857752489331437,-577,-14.100684261974585
